s_fpssm0,s_fpssm1,s_fpssm2,s_fpssm3,s_fpssm4,s_fpssm5,s_fpssm6,s_fpssm7,s_fpssm8,s_fpssm9,s_fpssm10,s_fpssm11,s_fpssm12,s_fpssm13,s_fpssm14,s_fpssm15,s_fpssm16,s_fpssm17,s_fpssm18,s_fpssm19,s_fpssm20,s_fpssm21,s_fpssm22,s_fpssm23,s_fpssm24,s_fpssm25,s_fpssm26,s_fpssm27,s_fpssm28,s_fpssm29,s_fpssm30,s_fpssm31,s_fpssm32,s_fpssm33,s_fpssm34,s_fpssm35,s_fpssm36,s_fpssm37,s_fpssm38,s_fpssm39,s_fpssm40,s_fpssm41,s_fpssm42,s_fpssm43,s_fpssm44,s_fpssm45,s_fpssm46,s_fpssm47,s_fpssm48,s_fpssm49,s_fpssm50,s_fpssm51,s_fpssm52,s_fpssm53,s_fpssm54,s_fpssm55,s_fpssm56,s_fpssm57,s_fpssm58,s_fpssm59,s_fpssm60,s_fpssm61,s_fpssm62,s_fpssm63,s_fpssm64,s_fpssm65,s_fpssm66,s_fpssm67,s_fpssm68,s_fpssm69,s_fpssm70,s_fpssm71,s_fpssm72,s_fpssm73,s_fpssm74,s_fpssm75,s_fpssm76,s_fpssm77,s_fpssm78,s_fpssm79,s_fpssm80,s_fpssm81,s_fpssm82,s_fpssm83,s_fpssm84,s_fpssm85,s_fpssm86,s_fpssm87,s_fpssm88,s_fpssm89,s_fpssm90,s_fpssm91,s_fpssm92,s_fpssm93,s_fpssm94,s_fpssm95,s_fpssm96,s_fpssm97,s_fpssm98,s_fpssm99,s_fpssm100,s_fpssm101,s_fpssm102,s_fpssm103,s_fpssm104,s_fpssm105,s_fpssm106,s_fpssm107,s_fpssm108,s_fpssm109,s_fpssm110,s_fpssm111,s_fpssm112,s_fpssm113,s_fpssm114,s_fpssm115,s_fpssm116,s_fpssm117,s_fpssm118,s_fpssm119,s_fpssm120,s_fpssm121,s_fpssm122,s_fpssm123,s_fpssm124,s_fpssm125,s_fpssm126,s_fpssm127,s_fpssm128,s_fpssm129,s_fpssm130,s_fpssm131,s_fpssm132,s_fpssm133,s_fpssm134,s_fpssm135,s_fpssm136,s_fpssm137,s_fpssm138,s_fpssm139,s_fpssm140,s_fpssm141,s_fpssm142,s_fpssm143,s_fpssm144,s_fpssm145,s_fpssm146,s_fpssm147,s_fpssm148,s_fpssm149,s_fpssm150,s_fpssm151,s_fpssm152,s_fpssm153,s_fpssm154,s_fpssm155,s_fpssm156,s_fpssm157,s_fpssm158,s_fpssm159,s_fpssm160,s_fpssm161,s_fpssm162,s_fpssm163,s_fpssm164,s_fpssm165,s_fpssm166,s_fpssm167,s_fpssm168,s_fpssm169,s_fpssm170,s_fpssm171,s_fpssm172,s_fpssm173,s_fpssm174,s_fpssm175,s_fpssm176,s_fpssm177,s_fpssm178,s_fpssm179,s_fpssm180,s_fpssm181,s_fpssm182,s_fpssm183,s_fpssm184,s_fpssm185,s_fpssm186,s_fpssm187,s_fpssm188,s_fpssm189,s_fpssm190,s_fpssm191,s_fpssm192,s_fpssm193,s_fpssm194,s_fpssm195,s_fpssm196,s_fpssm197,s_fpssm198,s_fpssm199,s_fpssm200,s_fpssm201,s_fpssm202,s_fpssm203,s_fpssm204,s_fpssm205,s_fpssm206,s_fpssm207,s_fpssm208,s_fpssm209,s_fpssm210,s_fpssm211,s_fpssm212,s_fpssm213,s_fpssm214,s_fpssm215,s_fpssm216,s_fpssm217,s_fpssm218,s_fpssm219,s_fpssm220,s_fpssm221,s_fpssm222,s_fpssm223,s_fpssm224,s_fpssm225,s_fpssm226,s_fpssm227,s_fpssm228,s_fpssm229,s_fpssm230,s_fpssm231,s_fpssm232,s_fpssm233,s_fpssm234,s_fpssm235,s_fpssm236,s_fpssm237,s_fpssm238,s_fpssm239,s_fpssm240,s_fpssm241,s_fpssm242,s_fpssm243,s_fpssm244,s_fpssm245,s_fpssm246,s_fpssm247,s_fpssm248,s_fpssm249,s_fpssm250,s_fpssm251,s_fpssm252,s_fpssm253,s_fpssm254,s_fpssm255,s_fpssm256,s_fpssm257,s_fpssm258,s_fpssm259,s_fpssm260,s_fpssm261,s_fpssm262,s_fpssm263,s_fpssm264,s_fpssm265,s_fpssm266,s_fpssm267,s_fpssm268,s_fpssm269,s_fpssm270,s_fpssm271,s_fpssm272,s_fpssm273,s_fpssm274,s_fpssm275,s_fpssm276,s_fpssm277,s_fpssm278,s_fpssm279,s_fpssm280,s_fpssm281,s_fpssm282,s_fpssm283,s_fpssm284,s_fpssm285,s_fpssm286,s_fpssm287,s_fpssm288,s_fpssm289,s_fpssm290,s_fpssm291,s_fpssm292,s_fpssm293,s_fpssm294,s_fpssm295,s_fpssm296,s_fpssm297,s_fpssm298,s_fpssm299,s_fpssm300,s_fpssm301,s_fpssm302,s_fpssm303,s_fpssm304,s_fpssm305,s_fpssm306,s_fpssm307,s_fpssm308,s_fpssm309,s_fpssm310,s_fpssm311,s_fpssm312,s_fpssm313,s_fpssm314,s_fpssm315,s_fpssm316,s_fpssm317,s_fpssm318,s_fpssm319,s_fpssm320,s_fpssm321,s_fpssm322,s_fpssm323,s_fpssm324,s_fpssm325,s_fpssm326,s_fpssm327,s_fpssm328,s_fpssm329,s_fpssm330,s_fpssm331,s_fpssm332,s_fpssm333,s_fpssm334,s_fpssm335,s_fpssm336,s_fpssm337,s_fpssm338,s_fpssm339,s_fpssm340,s_fpssm341,s_fpssm342,s_fpssm343,s_fpssm344,s_fpssm345,s_fpssm346,s_fpssm347,s_fpssm348,s_fpssm349,s_fpssm350,s_fpssm351,s_fpssm352,s_fpssm353,s_fpssm354,s_fpssm355,s_fpssm356,s_fpssm357,s_fpssm358,s_fpssm359,s_fpssm360,s_fpssm361,s_fpssm362,s_fpssm363,s_fpssm364,s_fpssm365,s_fpssm366,s_fpssm367,s_fpssm368,s_fpssm369,s_fpssm370,s_fpssm371,s_fpssm372,s_fpssm373,s_fpssm374,s_fpssm375,s_fpssm376,s_fpssm377,s_fpssm378,s_fpssm379,s_fpssm380,s_fpssm381,s_fpssm382,s_fpssm383,s_fpssm384,s_fpssm385,s_fpssm386,s_fpssm387,s_fpssm388,s_fpssm389,s_fpssm390,s_fpssm391,s_fpssm392,s_fpssm393,s_fpssm394,s_fpssm395,s_fpssm396,s_fpssm397,s_fpssm398,s_fpssm399
17,3,0,1,2,4,3,1,0,3,1,1,1,1,4,3,0,3,1,4,3,19,4,3,0,4,1,2,3,0,0,13,0,0,8,1,0,0,0,0,2,2,26,4,0,4,1,2,16,0,0,2,0,0,4,3,3,0,0,0,0,0,6,21,0,1,4,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,10,9,3,2,25,6,1,6,0,0,3,3,0,1,3,1,0,0,0,4,4,4,9,4,14,32,4,2,0,0,5,0,0,1,2,0,0,0,1,9,0,5,2,1,1,1,24,0,1,0,0,1,2,3,5,4,3,0,0,0,2,1,1,0,5,1,2,13,0,0,1,0,0,6,2,0,0,4,0,0,0,3,0,0,0,0,0,0,18,8,0,6,0,3,0,2,0,0,11,3,2,1,1,7,0,0,2,4,16,36,0,17,13,2,0,0,14,7,14,0,18,1,2,2,10,2,2,3,0,0,26,0,0,0,3,2,0,1,0,1,0,0,0,0,0,0,1,0,5,7,0,10,0,1,2,2,0,0,3,0,0,0,0,4,0,0,0,1,5,7,0,5,29,1,0,0,6,17,1,0,2,0,0,0,0,0,0,1,0,0,0,2,3,16,3,2,0,0,2,12,3,6,3,0,8,4,3,4,0,1,4,1,0,7,32,12,0,2,0,4,3,0,1,4,5,2,1,6,2,2,0,1,2,1,4,22,6,4,3,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,7,3,0,0,1,3,0,9,1,0,1,5,0,0,1,1,11,0,0,1,4,25,0,0,2,0,0,0,3,0,0,0,18,16,0,9,6,3,0,4,0,0,20
125,16,20,33,22,24,43,21,36,20,9,40,10,8,9,31,22,26,9,27,6,194,16,36,8,36,55,7,32,5,4,101,4,10,17,15,10,27,20,6,8,25,178,73,13,24,34,29,30,7,2,25,3,4,10,27,8,5,7,8,10,15,74,226,3,23,90,17,29,3,4,36,11,2,26,20,10,18,7,0,13,6,1,2,55,7,0,9,16,8,11,8,6,6,3,8,10,14,8,15,5,33,24,27,5,111,63,14,27,8,9,66,11,1,17,15,13,10,6,6,20,37,36,124,21,70,283,13,31,4,1,103,19,9,32,25,27,48,8,5,16,12,27,33,9,8,14,293,11,4,1,25,7,5,14,9,4,18,5,5,4,11,17,11,2,6,16,8,57,2,1,10,11,14,0,2,6,10,18,1,23,10,4,12,13,2,14,7,10,224,76,8,41,29,17,3,8,15,30,130,21,16,9,13,36,17,27,3,43,172,392,10,170,129,24,9,22,90,92,115,12,96,35,57,4,63,93,25,24,10,12,231,19,11,30,20,14,40,28,6,10,10,4,8,6,7,8,3,6,32,40,9,71,14,2,7,3,12,16,15,3,12,12,3,22,5,8,3,58,30,34,13,43,176,14,1,10,72,150,19,17,11,18,16,11,9,16,3,22,18,12,35,12,3,218,17,9,22,9,16,45,27,40,51,33,29,74,17,35,10,5,42,9,8,27,136,35,27,17,12,28,31,39,32,33,29,58,14,23,24,15,45,29,10,30,50,176,27,8,31,2,3,0,1,7,7,9,0,2,11,7,2,14,23,0,4,2,5,22,1,6,17,10,14,7,11,14,1,71,22,19,7,19,94,8,6,3,67,158,18,37,20,8,9,45,11,17,5,24,179,79,26,77,54,18,9,39,55,47,256
194,23,8,12,45,15,24,6,22,11,7,21,17,5,33,25,14,19,7,42,8,132,12,14,8,29,23,6,40,2,0,33,2,4,17,7,6,22,2,2,1,19,50,19,6,12,11,11,42,1,0,3,8,5,4,8,6,16,11,1,10,18,37,110,14,20,48,8,21,0,0,12,2,2,15,19,16,12,8,1,17,3,0,1,42,0,4,0,1,6,6,0,9,0,2,1,0,5,3,16,11,32,5,15,14,67,24,0,24,1,1,11,10,2,5,9,3,18,11,2,26,18,4,41,9,31,138,7,27,3,1,12,10,4,19,6,9,19,6,5,19,9,19,13,22,9,10,220,18,0,4,7,4,5,20,11,6,22,7,0,2,7,2,2,4,6,7,4,35,1,4,3,5,10,7,4,7,16,21,0,15,4,1,1,26,1,5,0,12,123,55,1,49,26,21,5,12,23,17,70,14,13,1,2,35,7,2,3,25,67,129,5,52,38,11,7,3,33,23,45,18,79,15,17,5,38,39,10,30,2,1,87,4,0,18,15,10,17,0,2,2,2,2,0,6,11,1,1,9,21,34,1,66,6,4,1,3,25,6,17,3,0,1,0,14,2,0,1,24,9,12,1,17,71,1,0,0,52,36,4,8,6,6,10,7,2,6,9,11,0,0,3,3,2,105,12,5,10,2,1,50,20,25,31,19,14,24,23,47,0,3,5,8,8,31,79,34,17,11,5,19,13,10,16,16,10,5,4,11,7,2,9,9,5,28,27,63,5,4,17,2,6,1,0,4,1,1,1,19,0,0,0,7,4,0,1,1,20,10,0,2,5,2,4,7,1,1,0,19,2,7,0,6,38,5,2,5,37,38,2,13,18,2,5,39,9,11,2,25,131,46,10,41,24,16,4,11,45,22,190
41,7,6,5,11,7,17,10,12,7,5,2,11,6,6,13,13,0,9,11,3,83,19,7,2,12,17,2,8,3,0,47,2,1,6,8,2,0,5,1,0,3,37,11,4,6,7,7,1,0,0,8,2,0,3,10,5,1,1,0,1,1,23,77,3,3,31,9,12,0,0,6,6,0,3,0,2,6,3,0,3,0,2,0,16,0,0,0,4,3,4,1,1,2,1,2,3,2,4,0,1,13,9,3,2,30,12,4,16,0,0,18,2,0,7,6,3,0,1,1,4,23,19,42,0,25,106,0,18,2,0,27,1,1,9,8,5,14,3,0,2,3,7,12,6,1,6,52,6,0,0,5,2,1,4,3,0,0,1,1,3,7,8,2,0,3,0,0,32,4,1,4,1,1,0,4,0,8,6,2,2,3,1,6,6,0,1,0,5,41,14,0,8,12,1,1,3,4,9,19,2,5,4,3,7,2,3,1,1,28,41,5,32,14,4,6,9,8,13,13,3,31,8,4,3,17,11,3,18,2,0,73,8,2,5,4,5,10,6,1,1,5,3,2,4,4,4,0,1,12,10,2,29,9,1,2,2,9,0,2,1,5,1,0,7,1,0,1,7,11,15,6,8,45,3,1,0,25,31,6,2,11,3,8,0,4,12,2,5,3,0,11,2,7,114,18,11,3,8,2,7,13,19,27,10,9,15,13,20,6,0,12,0,5,11,85,26,7,11,1,7,4,6,7,13,7,6,1,6,9,3,11,4,4,16,20,53,4,0,10,0,0,0,0,3,0,0,0,1,2,4,0,2,7,0,0,0,5,6,1,2,3,0,0,8,0,3,0,12,6,3,0,8,14,0,0,1,16,36,0,4,3,1,1,14,1,1,2,3,41,14,3,18,7,4,3,5,10,4,52
90,13,9,10,66,14,11,11,32,4,0,13,22,9,21,59,13,40,7,5,3,81,7,6,12,23,14,2,30,0,2,36,14,1,8,4,1,36,12,0,2,15,48,20,8,9,8,2,30,1,0,14,5,0,6,9,4,10,2,0,4,11,25,81,25,17,41,1,31,1,1,11,13,3,5,10,1,24,9,0,1,2,3,2,34,0,0,1,4,3,0,0,4,6,2,6,4,5,4,5,2,15,11,25,22,80,34,2,41,2,1,11,18,3,2,7,2,21,10,1,1,7,8,40,17,24,62,6,30,1,1,15,8,0,17,2,0,27,10,0,10,13,10,8,22,3,4,95,23,0,1,8,7,6,3,5,2,33,7,1,3,21,11,9,14,12,11,3,43,0,1,15,4,6,8,5,4,16,14,0,3,5,2,1,31,4,1,0,15,61,27,3,42,28,4,1,6,25,16,28,8,5,8,4,65,10,3,6,36,54,155,2,93,63,10,1,8,93,31,32,4,47,15,17,24,27,36,7,36,0,2,69,17,9,17,7,5,39,23,0,0,6,4,2,23,8,4,1,22,9,13,0,35,9,2,6,4,27,11,7,1,6,0,0,27,3,3,3,22,8,9,0,25,97,7,0,9,71,61,5,7,2,5,12,15,2,9,0,20,10,2,8,18,7,129,14,7,42,8,8,19,7,28,15,32,11,11,10,29,2,0,12,14,9,33,83,40,23,8,6,5,17,15,10,29,9,11,0,31,7,2,9,16,8,18,22,47,24,11,5,0,0,0,0,8,2,0,0,6,2,3,0,5,12,2,0,0,23,14,2,3,3,12,3,25,4,1,5,37,3,5,4,19,38,0,5,1,67,63,2,6,5,3,4,54,4,0,3,35,33,25,5,43,18,15,3,13,52,22,52
245,28,24,30,59,47,51,13,34,25,9,55,33,20,23,49,26,46,24,30,4,100,13,14,4,26,28,5,14,13,12,66,13,7,4,8,8,15,12,9,1,15,98,38,18,9,20,11,29,0,1,19,5,2,7,12,13,17,10,3,5,8,39,136,16,14,63,16,20,1,5,20,4,6,6,10,8,12,12,0,5,0,0,0,2,0,0,0,0,3,2,0,1,1,2,0,1,3,1,2,6,23,22,29,7,72,47,5,29,5,9,39,15,9,4,5,6,13,5,2,22,39,30,93,11,70,227,3,42,2,1,74,18,4,37,11,6,37,9,2,16,13,41,18,20,17,16,219,32,0,0,30,10,7,7,17,8,30,7,1,1,12,15,7,14,10,13,1,57,1,1,14,5,14,7,3,3,14,36,1,3,2,1,1,29,2,0,0,9,176,83,0,71,35,8,0,9,46,28,92,11,13,3,4,62,13,13,1,17,190,289,25,129,89,13,2,8,97,51,70,9,42,25,28,15,39,64,8,34,1,2,130,10,2,35,5,3,25,8,1,2,3,1,2,11,10,3,0,5,44,44,9,74,17,2,0,7,6,6,16,0,1,1,2,10,1,0,0,8,16,23,4,15,83,2,0,0,26,45,10,4,14,8,24,12,9,32,3,20,9,9,35,11,5,157,10,13,20,16,7,31,13,22,18,22,6,10,15,16,8,2,21,10,4,21,98,14,13,10,8,5,10,21,30,27,14,27,5,18,15,5,24,15,3,23,36,132,17,6,19,1,2,2,0,0,0,1,0,6,1,7,2,5,9,0,0,0,19,8,0,0,8,5,0,14,4,6,0,36,9,11,4,14,97,2,0,0,55,107,0,26,8,6,3,43,4,10,5,12,120,45,10,36,21,6,6,11,35,24,170
143,13,16,17,63,18,21,42,39,23,12,14,41,36,32,66,24,90,24,30,2,114,5,11,14,26,8,0,48,1,2,26,8,7,19,15,4,37,16,1,10,22,159,58,25,12,14,26,56,3,0,5,13,9,20,56,20,38,22,1,4,15,33,129,10,19,48,13,28,1,0,16,8,2,22,24,8,20,11,0,9,2,3,6,64,1,1,5,7,8,7,1,12,11,2,11,11,15,12,18,2,19,12,10,8,61,17,2,27,1,1,19,13,5,10,10,4,17,13,2,5,19,32,68,11,57,121,10,49,2,1,35,24,5,28,19,11,38,10,3,43,11,28,10,40,6,11,216,32,7,6,5,28,17,25,38,10,71,17,9,0,6,15,5,2,11,5,9,54,1,2,6,3,4,4,9,2,6,14,1,10,5,8,4,48,6,7,4,14,204,101,5,112,58,11,5,24,76,26,127,9,13,9,10,44,12,6,3,26,114,236,2,168,87,25,2,4,73,33,61,0,87,25,27,19,49,38,8,67,1,1,122,33,8,31,15,6,52,10,0,4,8,1,1,12,7,3,5,12,24,30,3,51,12,3,1,2,26,7,14,3,0,1,1,37,1,2,3,24,40,49,0,49,184,5,6,5,125,81,18,4,14,10,14,9,5,9,4,16,3,0,4,12,4,154,16,3,22,6,1,36,14,44,20,59,26,16,24,43,10,6,8,27,19,38,123,47,65,27,5,15,11,18,8,33,12,17,7,28,20,13,10,28,13,22,51,121,31,20,15,0,1,1,1,8,4,1,2,9,9,5,0,10,21,5,0,12,46,23,1,1,5,9,0,23,1,2,0,56,8,8,2,17,77,4,2,4,55,99,7,15,12,8,2,56,9,2,2,24,88,56,14,73,57,32,8,25,67,32,127
46,1,1,0,14,1,3,22,4,12,9,0,21,14,13,28,5,24,8,10,0,13,0,0,5,1,0,0,0,0,0,2,0,2,1,0,0,2,1,0,1,0,27,3,11,1,1,2,16,3,0,4,14,6,6,12,0,18,11,3,0,0,2,14,0,0,0,2,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,25,2,0,7,0,0,3,3,0,0,0,0,4,2,0,0,0,5,5,0,6,44,0,9,1,1,4,1,1,5,1,1,11,2,0,6,2,2,2,4,0,1,34,5,1,1,0,9,2,4,2,0,21,2,0,0,3,4,1,0,0,0,1,3,0,0,2,3,0,0,0,0,4,2,0,4,1,0,0,6,0,0,0,4,60,39,2,45,35,1,1,4,18,11,45,8,2,8,2,41,0,0,6,14,97,143,0,132,123,9,1,0,87,42,48,0,8,0,0,0,0,0,0,1,4,1,18,3,2,0,0,0,7,2,1,5,0,0,0,4,0,0,1,4,33,25,0,38,24,1,0,8,24,7,26,0,0,0,0,0,0,0,0,1,17,28,0,33,77,4,0,0,22,40,4,4,3,3,2,2,0,0,7,4,7,7,5,11,14,43,4,3,19,11,6,15,1,5,2,19,6,0,18,6,4,5,0,18,17,2,38,8,20,5,3,16,0,9,6,20,1,4,9,4,36,28,1,46,38,7,18,21,40,19,27,0,0,1,0,3,0,0,1,0,5,8,0,11,26,5,0,0,14,9,3,1,4,1,0,4,0,0,3,11,9,8,0,19,41,1,2,2,30,36,3,3,4,1,0,4,0,0,1,2,18,8,4,11,10,4,0,0,7,7,24
116,5,16,14,42,16,11,26,39,23,17,5,42,29,25,71,39,34,20,23,0,116,23,9,8,56,18,9,38,2,5,46,22,2,16,18,10,31,13,1,1,12,137,31,17,13,9,16,55,3,1,12,11,11,7,32,10,33,19,2,6,4,48,87,21,17,35,9,32,0,0,10,12,4,26,20,8,18,7,0,3,3,9,2,55,4,2,7,7,6,9,3,16,14,3,12,4,34,9,5,2,47,33,18,7,104,54,5,45,1,4,26,12,4,20,33,23,13,18,0,3,23,36,76,27,75,167,2,67,5,2,48,19,8,39,26,10,42,22,1,17,14,25,6,33,17,8,182,25,6,2,14,18,15,15,43,16,45,19,8,0,18,22,6,15,19,4,1,67,0,1,11,10,6,2,13,8,18,25,1,4,11,0,1,30,10,5,3,26,212,82,10,85,68,15,13,12,59,41,119,9,6,9,4,57,13,3,1,27,119,203,10,114,105,38,23,16,66,47,58,2,63,22,14,27,28,11,1,45,6,3,95,20,2,30,12,14,31,11,4,0,1,1,1,3,2,0,0,2,11,10,2,12,5,0,0,3,3,5,7,6,6,11,1,56,9,5,2,50,35,52,4,66,250,11,5,12,103,154,17,6,12,15,6,12,13,8,4,25,2,1,17,12,3,186,24,11,20,6,2,35,21,50,37,84,24,28,20,56,8,6,27,24,25,44,208,85,50,22,15,18,8,41,15,41,14,13,6,30,22,9,12,29,15,8,71,132,27,18,19,1,3,1,0,18,2,0,0,19,5,7,0,10,29,1,0,0,37,26,3,1,5,5,1,15,5,2,4,35,13,5,8,12,48,5,7,2,37,82,7,13,11,5,3,44,8,6,3,29,103,38,4,66,37,23,7,25,38,13,123
214,10,2,16,38,13,23,18,2,8,1,6,9,2,18,43,17,4,7,22,19,59,4,18,1,12,27,3,10,8,8,37,6,1,9,7,5,5,1,3,3,6,58,47,0,7,13,17,8,4,3,3,3,8,3,8,6,2,4,2,2,21,26,83,1,6,33,7,18,0,0,2,1,0,14,15,7,2,1,0,21,0,1,1,29,0,0,5,0,3,1,0,1,0,0,2,11,0,1,10,26,10,3,14,2,44,26,6,17,10,14,4,25,2,10,3,3,7,0,16,25,32,2,37,4,52,131,3,11,4,4,19,4,1,19,11,8,0,0,6,37,10,6,10,3,4,8,123,0,0,0,0,7,1,11,9,3,3,3,1,3,6,1,2,0,3,2,0,14,1,1,3,3,0,0,3,1,0,5,3,9,1,2,0,5,0,0,0,4,145,57,0,30,15,11,0,8,3,12,118,13,12,0,2,9,8,3,0,15,51,112,7,60,22,8,4,7,20,3,29,14,72,10,14,2,28,23,7,16,0,0,85,7,1,11,5,7,0,0,0,2,3,2,4,0,11,12,3,2,15,28,1,29,7,0,3,4,0,0,4,4,7,2,2,5,0,4,0,12,24,32,1,20,81,0,0,0,39,69,10,13,4,1,10,2,0,8,8,3,2,0,2,1,0,67,7,12,0,1,1,30,14,15,20,4,6,9,8,6,2,8,5,8,4,12,68,47,0,0,5,9,10,12,17,16,4,7,3,11,7,0,2,9,5,3,24,96,10,11,16,1,4,0,0,0,0,2,3,1,0,2,0,2,9,0,0,0,0,4,0,5,12,1,2,0,4,3,2,19,4,3,6,3,26,4,1,1,16,35,4,26,10,0,3,16,2,6,6,0,73,22,11,23,6,6,6,24,6,1,144
92,16,21,18,38,18,20,12,28,10,13,15,28,11,35,57,28,38,15,23,2,88,26,14,23,48,14,4,39,7,2,43,18,10,18,31,11,31,18,7,1,9,89,36,10,17,17,5,28,0,2,9,11,3,11,18,15,25,13,0,2,16,85,199,12,22,41,14,35,0,2,13,8,3,22,23,13,16,9,3,3,0,5,3,42,2,2,0,4,2,1,0,8,3,2,7,2,3,2,5,0,28,26,25,21,98,37,9,51,6,2,25,18,5,26,26,21,46,18,8,7,21,51,73,27,70,136,9,49,1,0,37,13,8,33,42,25,43,13,6,22,18,52,37,45,21,24,268,49,4,9,13,18,14,23,46,17,47,25,10,4,18,25,10,9,27,6,6,64,3,1,13,11,18,5,16,9,25,34,0,8,2,3,0,26,7,5,3,19,136,77,5,68,46,10,6,11,49,29,90,19,21,21,6,46,30,5,20,45,143,199,22,109,102,16,13,22,116,66,121,4,45,31,25,22,35,30,7,34,4,2,81,24,12,18,15,26,28,21,8,2,8,5,0,6,9,7,2,9,23,23,4,49,12,9,1,12,22,3,27,5,3,7,2,31,7,3,4,35,29,30,1,33,172,3,4,6,86,103,28,1,10,26,24,30,22,26,14,38,2,5,18,22,9,210,25,20,37,18,3,18,36,70,43,52,49,40,37,68,8,4,41,27,18,34,153,74,52,30,10,5,17,40,21,34,25,20,17,40,6,6,19,23,6,24,53,95,46,12,9,0,0,4,0,5,2,3,0,6,1,4,1,10,10,2,2,3,28,7,0,1,4,2,0,24,5,3,1,54,12,1,3,16,55,17,7,9,37,100,8,14,7,12,3,43,16,9,4,28,129,63,6,69,53,22,10,25,39,27,170
49,3,2,1,25,4,1,8,9,6,2,0,7,2,3,8,11,10,8,12,2,49,5,8,2,9,5,0,11,0,0,15,3,1,2,1,1,11,4,0,3,2,37,15,5,4,12,10,11,0,0,5,4,1,6,5,2,5,4,1,5,10,22,59,10,11,28,10,8,0,0,10,2,1,9,6,1,9,1,0,16,4,0,0,26,4,0,0,2,3,1,2,6,6,2,7,7,3,7,4,2,10,3,10,1,16,10,2,11,0,0,5,9,3,0,1,0,11,8,2,6,17,4,31,10,19,65,7,23,2,1,17,5,2,14,5,6,11,7,3,17,5,14,8,16,6,4,97,19,4,3,0,8,3,13,16,6,20,2,4,0,8,3,2,0,7,5,5,21,0,1,7,0,2,3,3,1,5,5,0,1,1,2,1,11,4,2,2,12,46,18,3,9,12,5,4,8,24,10,25,12,7,1,6,26,7,5,1,15,64,81,1,52,38,8,2,5,48,34,39,6,26,11,13,9,11,16,2,12,2,0,34,5,0,18,5,4,12,4,5,4,0,0,0,10,0,0,5,8,4,5,0,18,4,1,0,0,13,5,5,0,2,0,1,10,3,1,2,8,6,6,2,15,23,8,0,1,31,18,3,4,4,2,4,6,2,2,20,9,6,6,3,4,1,93,0,3,14,2,5,10,16,19,18,13,11,13,7,23,1,0,14,10,4,12,33,18,16,4,2,4,7,9,13,12,10,12,11,12,5,4,5,13,3,15,17,57,5,9,6,1,0,0,2,11,1,0,0,12,2,1,3,7,13,3,0,0,28,15,1,0,5,6,6,11,2,0,1,17,2,0,1,9,12,3,0,2,28,28,4,9,9,1,4,16,5,7,10,11,41,10,8,20,5,12,1,8,18,5,53
100,8,15,13,30,15,25,13,13,7,16,14,17,3,15,25,10,29,7,7,10,85,6,7,18,21,11,0,35,0,6,27,16,6,9,5,6,25,10,1,3,8,35,7,6,4,5,2,14,4,3,3,2,2,4,4,8,3,0,3,7,8,11,103,10,7,32,2,16,4,0,8,13,4,6,5,3,13,4,2,3,0,1,2,9,4,3,0,3,5,4,1,6,2,0,4,1,6,2,3,14,28,8,25,3,52,42,0,19,3,1,18,10,1,7,4,1,6,4,3,8,15,9,27,10,24,76,1,33,1,3,10,9,1,9,3,2,21,5,3,19,11,13,10,15,8,15,93,22,3,2,14,15,3,2,11,7,19,6,5,3,7,11,2,7,5,2,0,23,1,0,3,6,2,0,3,3,7,14,1,3,7,0,1,13,3,1,6,2,39,20,1,17,7,4,0,1,19,6,15,11,10,3,4,43,11,6,2,23,72,121,4,88,35,14,3,4,70,19,25,6,27,5,9,8,14,18,2,18,3,3,43,8,0,7,4,3,16,5,1,11,1,0,0,12,2,2,1,8,13,13,1,32,11,2,0,3,18,4,9,2,11,1,0,10,2,5,2,13,6,4,3,13,41,3,3,0,26,20,2,2,1,4,1,6,4,2,4,11,1,0,3,6,4,39,5,1,10,2,1,25,6,6,13,29,11,22,13,15,9,9,8,18,11,12,52,15,17,11,10,16,10,2,4,9,8,10,1,15,8,6,6,17,5,15,15,45,17,6,8,6,6,1,0,3,3,4,1,3,6,9,4,5,14,0,0,0,36,18,2,1,11,3,4,2,0,2,0,10,2,5,3,12,12,6,0,0,14,28,0,21,3,1,3,31,5,4,0,14,43,26,3,31,10,7,7,9,29,10,51
